"C:\Program Files\Java\jdk-14.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\lib\idea_rt.jar=61193:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\2020\COS 710\Assignment 3\out\production\Assignment 3" main
[*] Seed: 1602102356604
Gen 2600 best accuracy: 0.7553648068669528
Gen 2600 best accuracy: 0.8008474576271186
Gen 4000 best accuracy: 0.7088607594936709
Gen 2800 best accuracy: 0.7530364372469636
Gen 2600 best accuracy: 0.7489361702127659
Gen 3800 best accuracy: 0.7682403433476395
Gen 3400 best accuracy: 0.7669491525423728
Gen 3400 best accuracy: 0.673728813559322
Gen 2400 best accuracy: 0.7261410788381742
Gen 4000 best accuracy: 0.6720647773279352
Gen 3800 best accuracy: 0.7330508474576272
Gen 3400 best accuracy: 0.7702127659574468
Gen 2600 best accuracy: 0.7100840336134454
Gen 3400 best accuracy: 0.7489539748953975
Gen 2600 best accuracy: 0.7698744769874477
Gen 3600 best accuracy: 0.7449392712550608
Gen 2600 best accuracy: 0.7782426778242678
Gen 3600 best accuracy: 0.7923728813559322
Gen 3600 best accuracy: 0.728448275862069
Gen 3600 best accuracy: 0.7704918032786885
Gen 4000 best accuracy: 0.7982832618025751
Gen 4200 best accuracy: 0.6720647773279352
Gen 4200 best accuracy: 0.7088607594936709
Gen 4000 best accuracy: 0.7330508474576272
Gen 3600 best accuracy: 0.7702127659574468
Gen 3600 best accuracy: 0.673728813559322
Gen 2600 best accuracy: 0.7627118644067796
Gen 3200 best accuracy: 0.6693877551020408
Gen 1200 best accuracy: 0.7071129707112971
Gen 3600 best accuracy: 0.788135593220339
Gen 3600 best accuracy: 0.7489539748953975
Gen 2400 best accuracy: 0.7458333333333333
Gen 3000 best accuracy: 0.7530364372469636
Gen 2800 best accuracy: 0.8008474576271186
Gen 2800 best accuracy: 0.7553648068669528
Gen 2400 best accuracy: 0.7851239669421488
Gen 3800 best accuracy: 0.7449392712550608
Gen 2800 best accuracy: 0.7489361702127659
Gen 2600 best accuracy: 0.7261410788381742
Gen 2800 best accuracy: 0.7698744769874477
Gen 2800 best accuracy: 0.6848739495798319
Gen 3800 best accuracy: 0.7923728813559322
Gen 3800 best accuracy: 0.728448275862069
Gen 2800 best accuracy: 0.7782426778242678
Gen 3800 best accuracy: 0.7704918032786885
Gen 4200 best accuracy: 0.7982832618025751
Gen 4400 best accuracy: 0.7088607594936709
Gen 4400 best accuracy: 0.6720647773279352
Gen 4200 best accuracy: 0.7584745762711864
Gen 3800 best accuracy: 0.673728813559322
Gen 3800 best accuracy: 0.7489539748953975
Gen 3800 best accuracy: 0.7702127659574468
Gen 3800 best accuracy: 0.788135593220339
Gen 4000 best accuracy: 0.7449392712550608
Gen 3400 best accuracy: 0.6693877551020408
Gen 3200 best accuracy: 0.7530364372469636
Gen 2800 best accuracy: 0.7627118644067796
Gen 3000 best accuracy: 0.8008474576271186
Gen 4600 best accuracy: 0.6720647773279352
Gen 3000 best accuracy: 0.7489361702127659
Gen 4000 best accuracy: 0.728448275862069
Gen 4600 best accuracy: 0.7088607594936709
Gen 4400 best accuracy: 0.7982832618025751
Gen 4000 best accuracy: 0.7923728813559322
Gen 4000 best accuracy: 0.7581967213114754
Gen 1400 best accuracy: 0.7071129707112971
Gen 3000 best accuracy: 0.7553648068669528
Gen 4400 best accuracy: 0.7584745762711864
Gen 2600 best accuracy: 0.7458333333333333
Gen 3000 best accuracy: 0.6848739495798319
Gen 3000 best accuracy: 0.7698744769874477
Gen 4000 best accuracy: 0.7033898305084746
Gen 2800 best accuracy: 0.7261410788381742
Gen 3000 best accuracy: 0.7782426778242678
Gen 4000 best accuracy: 0.7702127659574468
Gen 4000 best accuracy: 0.7489539748953975
Gen 2600 best accuracy: 0.7851239669421488
Gen 4200 best accuracy: 0.7651821862348178
Gen 4000 best accuracy: 0.788135593220339
Gen 4800 best accuracy: 0.7088607594936709
Gen 4800 best accuracy: 0.6720647773279352
Gen 4600 best accuracy: 0.7982832618025751
Gen 4200 best accuracy: 0.728448275862069
Gen 3600 best accuracy: 0.6693877551020408
Gen 4200 best accuracy: 0.7923728813559322
Gen 4600 best accuracy: 0.7584745762711864
Gen 4200 best accuracy: 0.7581967213114754
Gen 3400 best accuracy: 0.7530364372469636
Gen 3200 best accuracy: 0.7489361702127659
Gen 4200 best accuracy: 0.7033898305084746
Gen 4200 best accuracy: 0.7702127659574468
Gen 1600 best accuracy: 0.7405857740585774
Gen 3200 best accuracy: 0.7553648068669528
Gen 4200 best accuracy: 0.7489539748953975
Gen 3200 best accuracy: 0.8008474576271186
Gen 3000 best accuracy: 0.7627118644067796
Gen 4400 best accuracy: 0.7651821862348178
Gen 4200 best accuracy: 0.788135593220339
Gen 5000 best accuracy: 0.7088607594936709
Gen 5000 best accuracy: 0.6720647773279352
Gen 3200 best accuracy: 0.6848739495798319
Gen 4800 best accuracy: 0.7982832618025751
Gen 3200 best accuracy: 0.7782426778242678
Gen 4400 best accuracy: 0.728448275862069
Gen 3200 best accuracy: 0.7698744769874477
Gen 4400 best accuracy: 0.7923728813559322
Gen 3000 best accuracy: 0.7261410788381742
Gen 4800 best accuracy: 0.7584745762711864
Gen 2800 best accuracy: 0.7458333333333333
Gen 2800 best accuracy: 0.7851239669421488
Gen 3800 best accuracy: 0.6693877551020408
Gen 4400 best accuracy: 0.7581967213114754
Gen 4400 best accuracy: 0.7033898305084746
Gen 4400 best accuracy: 0.7702127659574468
Gen 4400 best accuracy: 0.7489539748953975
Gen 5200 best accuracy: 0.7088607594936709
Gen 3400 best accuracy: 0.7489361702127659
Gen 5200 best accuracy: 0.6720647773279352
Gen 3600 best accuracy: 0.7530364372469636
Gen 4400 best accuracy: 0.8050847457627118
Gen 4600 best accuracy: 0.7651821862348178
Gen 5000 best accuracy: 0.7982832618025751
Gen 4600 best accuracy: 0.728448275862069
Gen 4600 best accuracy: 0.7923728813559322
Gen 3400 best accuracy: 0.8008474576271186
Gen 3400 best accuracy: 0.7553648068669528
Gen 5000 best accuracy: 0.75
Gen 1800 best accuracy: 0.7405857740585774
Gen 3400 best accuracy: 0.7310924369747899
Gen 3200 best accuracy: 0.7627118644067796
Gen 5400 best accuracy: 0.7088607594936709
Gen 4600 best accuracy: 0.7033898305084746
