"C:\Program Files\Java\jdk-14.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\lib\idea_rt.jar=60291:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\2020\COS 710\Assignment 3\out\production\Assignment 3" main
[*] Seed: 1602097142198
Gen 1800 best accuracy: 0.6610878661087866
Gen 1800 best accuracy: 0.6949152542372882
Gen 1800 best accuracy: 0.7383966244725738
Gen 1800 best accuracy: 0.5165289256198347
Gen 3000 best accuracy: 0.6260162601626016
Gen 3200 best accuracy: 0.7154811715481172
Gen 3200 best accuracy: 0.6869565217391305
Gen 3200 best accuracy: 0.7763713080168776
Gen 1800 best accuracy: 0.6297872340425532
Gen 1800 best accuracy: 0.6720647773279352
Gen 3200 best accuracy: 0.5308641975308642
Gen 3000 best accuracy: 0.6695652173913044
Gen 3200 best accuracy: 0.6351931330472103
Gen 3000 best accuracy: 0.6324786324786325
Gen 1800 best accuracy: 0.7131147540983607
Gen 3200 best accuracy: 0.6331877729257642
Gen 3000 best accuracy: 0.6512605042016807
Gen 2000 best accuracy: 0.5361702127659574
Gen 3000 best accuracy: 0.5936254980079682
Gen 1800 best accuracy: 0.6581196581196581
Gen 2000 best accuracy: 0.679324894514768
Gen 3000 best accuracy: 0.43946188340807174
Gen 3200 best accuracy: 0.5485232067510548
Gen 2000 best accuracy: 0.7383966244725738
Gen 3400 best accuracy: 0.7154811715481172
Gen 3200 best accuracy: 0.6260162601626016
Gen 3400 best accuracy: 0.691304347826087
Gen 3400 best accuracy: 0.7763713080168776
Gen 3400 best accuracy: 0.5555555555555556
Gen 3400 best accuracy: 0.6331877729257642
Gen 3400 best accuracy: 0.6351931330472103
Gen 3200 best accuracy: 0.6695652173913044
Gen 3200 best accuracy: 0.6324786324786325
Gen 2000 best accuracy: 0.6610878661087866
Gen 3200 best accuracy: 0.6512605042016807
Gen 2000 best accuracy: 0.6949152542372882
Gen 1800 best accuracy: 0.639344262295082
Gen 3200 best accuracy: 0.5936254980079682
Gen 3400 best accuracy: 0.5485232067510548
Gen 3200 best accuracy: 0.6188340807174888
Gen 2000 best accuracy: 0.7383966244725738
Gen 2000 best accuracy: 0.5165289256198347
Gen 3600 best accuracy: 0.7154811715481172
Gen 3400 best accuracy: 0.6260162601626016
Gen 3600 best accuracy: 0.691304347826087
Gen 2000 best accuracy: 0.6297872340425532
Gen 2200 best accuracy: 0.679324894514768
Gen 3600 best accuracy: 0.7763713080168776
Gen 2200 best accuracy: 0.5361702127659574
Gen 2000 best accuracy: 0.6720647773279352
Gen 2000 best accuracy: 0.7131147540983607
Gen 3600 best accuracy: 0.6351931330472103
Gen 3600 best accuracy: 0.6331877729257642
Gen 3600 best accuracy: 0.5555555555555556
Gen 3400 best accuracy: 0.6324786324786325
Gen 2000 best accuracy: 0.6581196581196581
Gen 3400 best accuracy: 0.7
Gen 3400 best accuracy: 0.6512605042016807
Gen 3600 best accuracy: 0.5485232067510548
Gen 3400 best accuracy: 0.5936254980079682
Gen 2200 best accuracy: 0.7383966244725738
Gen 3400 best accuracy: 0.6188340807174888
Gen 3800 best accuracy: 0.7154811715481172
Gen 3800 best accuracy: 0.691304347826087
Gen 3600 best accuracy: 0.6260162601626016
Gen 3800 best accuracy: 0.7763713080168776
Gen 2200 best accuracy: 0.6949152542372882
Gen 2200 best accuracy: 0.6610878661087866
Gen 3800 best accuracy: 0.6331877729257642
Gen 3800 best accuracy: 0.5555555555555556
Gen 3800 best accuracy: 0.6351931330472103
Gen 3600 best accuracy: 0.6324786324786325
Gen 2000 best accuracy: 0.680327868852459
Gen 3600 best accuracy: 0.7
Gen 2200 best accuracy: 0.7383966244725738
Gen 3800 best accuracy: 0.5485232067510548
Gen 3600 best accuracy: 0.6512605042016807
Gen 3600 best accuracy: 0.5936254980079682
Gen 3600 best accuracy: 0.6188340807174888
Gen 2200 best accuracy: 0.5867768595041323
Gen 2400 best accuracy: 0.6638297872340425
Gen 4000 best accuracy: 0.691304347826087
Gen 2200 best accuracy: 0.6297872340425532
Gen 2400 best accuracy: 0.679324894514768
Gen 3800 best accuracy: 0.6260162601626016
Gen 4000 best accuracy: 0.7615062761506276
Gen 4000 best accuracy: 0.7763713080168776
Gen 2200 best accuracy: 0.6720647773279352
Gen 2200 best accuracy: 0.7131147540983607
Gen 4000 best accuracy: 0.6331877729257642
Gen 2200 best accuracy: 0.6581196581196581
Gen 4000 best accuracy: 0.5555555555555556
Gen 4000 best accuracy: 0.6351931330472103
Gen 2400 best accuracy: 0.7383966244725738
Gen 3800 best accuracy: 0.7
Gen 3800 best accuracy: 0.6324786324786325
Gen 4000 best accuracy: 0.5485232067510548
Gen 3800 best accuracy: 0.6512605042016807
Gen 3800 best accuracy: 0.5936254980079682
Gen 4200 best accuracy: 0.691304347826087
Gen 3800 best accuracy: 0.6188340807174888
Gen 2400 best accuracy: 0.6949152542372882
Gen 4200 best accuracy: 0.7656903765690377
Gen 2400 best accuracy: 0.6610878661087866
Gen 4000 best accuracy: 0.6260162601626016
Gen 4200 best accuracy: 0.7763713080168776
Gen 4200 best accuracy: 0.6331877729257642
Gen 4200 best accuracy: 0.5555555555555556
Gen 4200 best accuracy: 0.6351931330472103
Gen 2400 best accuracy: 0.7383966244725738
Gen 2600 best accuracy: 0.6638297872340425
Gen 2200 best accuracy: 0.680327868852459
Gen 4000 best accuracy: 0.7
Gen 2600 best accuracy: 0.679324894514768
Gen 4200 best accuracy: 0.5485232067510548
Gen 4000 best accuracy: 0.6324786324786325
Gen 2400 best accuracy: 0.6611570247933884
Gen 4400 best accuracy: 0.691304347826087
Gen 2400 best accuracy: 0.6297872340425532
Gen 4000 best accuracy: 0.6188340807174888
Gen 4000 best accuracy: 0.6512605042016807
Gen 4000 best accuracy: 0.5936254980079682
Gen 4400 best accuracy: 0.7656903765690377
Gen 4200 best accuracy: 0.6260162601626016
Gen 4400 best accuracy: 0.7763713080168776
Gen 2600 best accuracy: 0.7383966244725738
Gen 2400 best accuracy: 0.6720647773279352
Gen 2400 best accuracy: 0.688034188034188
Gen 2400 best accuracy: 0.7131147540983607
Gen 4400 best accuracy: 0.6331877729257642
Gen 4400 best accuracy: 0.5555555555555556
Gen 4400 best accuracy: 0.6351931330472103
Gen 4400 best accuracy: 0.5485232067510548
Gen 4200 best accuracy: 0.7
Gen 4200 best accuracy: 0.6324786324786325
Gen 2600 best accuracy: 0.6610878661087866
Gen 2600 best accuracy: 0.6949152542372882
Gen 4600 best accuracy: 0.7217391304347827
Gen 4200 best accuracy: 0.6188340807174888
Gen 4200 best accuracy: 0.6512605042016807
Gen 4600 best accuracy: 0.7656903765690377
Gen 4400 best accuracy: 0.6260162601626016
Gen 4200 best accuracy: 0.5936254980079682
Gen 4600 best accuracy: 0.7763713080168776
Gen 2600 best accuracy: 0.7383966244725738
Gen 4600 best accuracy: 0.6331877729257642
Gen 2800 best accuracy: 0.6638297872340425
